Country Name	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
Iraq	7289759	7475354	7674220	7888914	8122200	8375791	8651167	8947399	9260685	9585576	9917982	10255904	10599846	10951169	11312304	11684585	12068300	12461337	12859762	13258367	13653358	14045450	14435914	14822565	15202850	15576396	15941197	16301879	16672907	17073500	17517521	18009865	18547047	19123947	19731733	20363138	21017108	21693597	22387179	23091408	23801156	24516842	25238267	25959531	26673536	27377045	28064095	28740630	29429829	30163199	30962380	31760020	32578209	33417476
Ireland	2828600	2824400	2836050	2852650	2866550	2877300	2888800	2902450	2915550	2932650	2957250	2992050	3036850	3085950	3137500	3189550	3238050	3282200	3329100	3373750	3412800	3453000	3485800	3510600	3532423	3538082	3539690	3540057	3524949	3511009	3513974	3534235	3558430	3576261	3590386	3608841	3637510	3674171	3712696	3754786	3805174	3866243	3931947	3996521	4070262	4159914	4274137	4398942	4489544	4535375	4560155	4576794	4586897	4595281
Israel	2114020	2185000	2293000	2379000	2475000	2563000	2629000	2745000	2803000	2877000	2974000	3069000	3148000	3278000	3377000	3455000	3533000	3613000	3690000	3786000	3878000	3956000	4031000	4105000	4159000	4233000	4299000	4369000	4442000	4518000	4660000	4949000	5123000	5261000	5399000	5545000	5692000	5836000	5971000	6125000	6289000	6439000	6570000	6689700	6809000	6930100	7053700	7180100	7308800	7485600	7623600	7765800	7910500	8059400
Italy	50199700	50536350	50879450	51252000	51675350	52112350	52519000	52900500	53235750	53537950	53821850	54073490	54381345	54751406	55110868	55441001	55718260	55955411	56155143	56317749	56433883	56501675	56543548	56564074	56576718	56593071	56596155	56601931	56629288	56671781	56719240	56758521	56797087	56831821	56843400	56844303	56860281	56890372	56906744	56916317	56942108	56974100	57059007	57313203	57685327	57969484	58143979	58438310	58826731	59095365	59277417	59379449	59539717	59831093
Japan	92500572	94943000	95832000	96812000	97826000	98883000	99790000	100725000	101061000	103172000	104345000	105697000	107188000	108079000	110162000	111940000	112771000	113863000	114898000	115870000	116782000	117648000	118449000	119259000	120018000	120754000	121492000	122091000	122613000	123116000	123537000	123921000	124229000	124536000	124961000	125439000	125761000	126091000	126410000	126650000	126870000	127149000	127445000	127718000	127761000	127773000	127756000	127770750	127704040	127557958	127450459	127817277	127561489	127338621
Kazakhstan	9714260	10129861	10532062	10913552	11267329	11588870	11872939	12120504	12341412	12550121	12757245	12966920	13176584	13382211	13577049	13756789	13920105	14070681	14215111	14362417	14518924	14683789	14853993	15030495	15214051	15403006	15600928	15801753	15982510	16249500	16348000	16450500	16439095	16330419	16095199	15815626	15577894	15333703	15071300	14928426	14883626	14858335	14858948	14909018	15012985	15147029	15308084	15484192	15674000	16092701	16321581	16556600	16791425	17037508
Kenya	8105440	8361442	8628973	8908425	9200158	9504702	9822505	10154489	10502250	10867717	11252466	11657477	12083159	12529800	12997438	13486241	13995996	14527242	15081677	15661480	16267906	16901167	17559844	18241424	18942464	19660018	20392312	21138372	21896890	22666720	23446439	24237056	25036941	25839132	26634659	27418077	28186224	28943647	29702246	30478597	31285050	32126351	33000524	33905011	34834606	35785718	36757498	37752304	38773277	39824734	40909194	42027891	43178141	44353691
Madagascar	5099371	5223621	5352674	5486593	5625401	5769219	5918060	6072270	6232704	6400454	6576301	6760352	6952383	7152391	7360271	7575757	7799642	8031589	8268902	8507958	8746516	8983494	9220693	9462343	9714342	9981113	10264368	10563491	10877757	11205548	11545782	11898267	12263899	12643864	13039754	13452526	13882646	14329239	14790245	15262817	15744811	16235767	16736029	17245275	17763367	18290394	18826126	19371023	19926785	20495695	21079532	21678934	22293914	22924851
Malaysia	8160975	8429369	8710678	8999247	9287442	9569784	9844116	10111920	10375877	10640347	10908634	11182078	11460080	11741849	12025930	12311782	12599655	12891715	13191699	13504433	13833739	14180093	14543585	14926976	15333369	15764340	16221767	16703500	17202032	17707064	18211097	18709963	19205112	19701410	20206546	20725374	21259831	21805835	22355057	22896048	23420751	23925742	24413795	24890654	25365089	25843466	26327098	26813819	27302348	27790324	28275835	28758968	29239927	29716965
Mexico	38676974	39939271	41234350	42564038	43931398	45338827	46783542	48264496	49787609	51360846	52988138	54669034	56395803	58155590	59931341	61708369	63486196	65261295	67012869	68715443	70353013	71916281	73415735	74880326	76351106	77859344	79410218	80999175	82635332	84326921	86077004	87890094	89757916	91653826	93541577	95392647	97201533	98968558	100678867	102316781	103873607	105339877	106723661	108056312	109381550	110731826	112116694	113529819	114968039	116422752	117886404	119361233	120847477	122332399
Morocco	12328534	12687467	13039318	13387425	13737160	14092269	14454566	14822362	15191876	15557664	15916387	16266807	16611970	16958091	17313732	17685326	18074081	18478909	18900970	19340967	19798703	20274839	20767511	21270638	21776104	22277541	22772287	23260094	23739980	24211718	24674974	25128064	25569662	26000345	26421309	26833093	27237150	27632321	28013585	28374203	28710123	29021156	29311443	29586937	29855820	30125445	30395097	30667086	30955151	31276564	31642360	32059424	32521143	33008150
